NCBI GeneID	Symbol	Common Name	Synonyms
14799	Gria1	house mouse	Glr1,Glr-1,GluA1,GluRA,Glur1,HIPA1,GluR-A,Glur-1,gluR-K1,2900051M01Rik
16150	Ikbkb	house mouse	IKK2,IKK-2,IKK-B,IKK[b],IKKbeta,NFKBIKB,IKK-beta
17172	Ascl1	house mouse	ASH1,Mash1,bHLHa46
17700	Mstn	house mouse	Cmpt,Gdf8
18667	Pgr	house mouse	PR,PR-A,PR-B,NR3C3,9930019P03Rik
18750	Prkca	house mouse	Pkca
20375	Spi1	house mouse	Dis1,PU.1,Dis-1,Sfpi1,Spi-1,Sfpi-1,Tcfpu1,Tfpu.1
212541	Rho	house mouse	Ops,RP4,Opn2,Noerg1
22259	Nr1h3	house mouse	LXR,RLD1,Unr1
22418	Wnt5a	house mouse	Wnt-5a,8030457G12Rik
56484	Foxo3	house mouse	Fkhr2,FKHRL1,Foxo3a,1110048B16Rik,2010203A17Rik
12308	Calb2	house mouse	CR
140919	Slc17a6	house mouse	DNPI,VGLUT2,2900073D12Rik
14127	Fcer1g	house mouse	CD23,Fce1g,Ly-50,FcR[g],FcRgamma,FcR-gamma,FcepsilonRI
14417	Gad2	house mouse	GAD65,Gad-2,GAD(65),6330404F12Rik
16159	Il12a	house mouse	p35,Ll12a,Il-12a,IL-12p35
18018	Nfatc1	house mouse	NFAT2,NFATc,NF-ATc,Nfatcb,2210017P03Rik
18424	Otx2	house mouse	E130306E05Rik
20186	Nr1h4	house mouse	Fxr,HRR1,RIP14,Rxrip14
20778	Scarb1	house mouse	CD36,Cla1,SRBI,Srb1,Cla-1,Hdlq1,SR-B1,SR-BI,Cd36l1,Chohd1,Hlb398,mSR-BI,D5Ertd460e
22061	Trp63	house mouse	Ket,P63,P73l,Tp63,P51/P63,Trp53rp1
277328	Trpa1	house mouse	Anktm1,TRPA1b
12477	Ctla4	house mouse	Cd152,Ly-56,Ctla-4
14165	Fgf10	house mouse	AEY17,Fgf5a,Fgf-10,Gsfaey17
14462	Gata3	house mouse	jal,Gata-3
14634	Gli3	house mouse	Xt,Bph,Pdn,add,GLI3FL,GLI3-190
15205	Hes1	house mouse	Hry,bHLHb39
15977	Ifnb1	house mouse	Ifb,IFNB,If1da1,IFN-beta
16033	Igh-J	house mouse	Jh
16414	Itgb2	house mouse	2E6,LAD,Cd18,Lfa1,MF17,LCAMB
16416	Itgb3	house mouse	CD61,GP3A,INGRB3
16522	Kcnj6	house mouse	wv,BIR1,GIRK2,KATP2,KCNJ7,Kir3.2,weaver
17701	Msx1	house mouse	msh,Hox7,Hox-7,Hox7.1
18753	Prkcd	house mouse	Pkcd,PKC[d],PKCdelta,D14Ertd420e
19247	Ptpn11	house mouse	Syp,Shp2,PTP1D,PTP2C,SAP-2,SHP-2,SH-PTP2,SH-PTP3,2700084A17Rik
58991	Ghrl	house mouse	Ghr,m46,MTLRP,MTLRPAP,2210006E23Rik
63873	Trpv4	house mouse	Trp12,VRL-2,VROAC,OTRPC4,VR-OAC,0610033B08Rik
11793	Atg5	house mouse	Apg5l,Atg5l,Paddy,2010107M05Rik,3110067M24Rik
12048	Bcl2l1	house mouse	BclX,Bcl2l,bcl-x,Bcl-XL,Bcl(X)L,bcl2-L-1
12189	Brca1	house mouse	
12775	Ccr7	house mouse	EBI1,CCR-7,CD197,Ebi1h,Cdw197,Cmkbr7,CC-CKR-7
14118	Fbn1	house mouse	Tsk,Fib-1,B430209H23
14812	Grin2b	house mouse	NR2B,GluN2B,Nmdar2b,GluRepsilon2
16190	Il4ra	house mouse	Il4r,CD124
16196	Il7	house mouse	Il-7,hlb368,A630026I06Rik
17125	Smad1	house mouse	Mad1,Mlp1,Madh1,Madr1,dwf-A,mMad1,MusMLP
17128	Smad4	house mouse	DPC4,Madh4,D18Wsu70e
17246	Mdm2	house mouse	Mdm-2,1700007J15Rik
18596	Pdgfrb	house mouse	Pdgfr,CD140b,PDGFR-1
19664	Rbpj	house mouse	CBF1,RBP-J,RBPjk,Igkjrb,Rbpsuh,Igkrsbp,RBP-Jkappa,RBP-J kappa
20344	Selp	house mouse	Grmp,CD62P,LECAM3,PADGEM,GMP-140
20665	Sox10	house mouse	gt,Dom,Sox21
74244	Atg7	house mouse	Agp7,Apg7l,Atg7l,Gm21553,1810013K23Rik
108079	Prkaa2	house mouse	A830082D05,AMPKalpha2,2310008I11Rik
12774	Ccr5	house mouse	AM4-7,CD195,Cmkbr5
16449	Jag1	house mouse	Htu,Ozz,ABE2,Ser-1,Gena228,Gsfabe2
16819	Lcn2	house mouse	NRL,24p3,Sip24
16905	Lmna	house mouse	Dhe
19015	Ppard	house mouse	NUC1,NUC-1,Nr1c2,Pparb,PPAR[b],Pparb/d,PPAR-beta,PPARdelta,PPAR-delta
20595	Smn1	house mouse	Smn,Gemin1
20869	Stk11	house mouse	Lkb1,Par-4
